"商品编码","商品名称","贸易伙伴编码","贸易伙伴名称","注册地编码","注册地名称","第一数量","第一计量单位","第二数量","第二计量单位","人民币",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","416","古巴","31","上海市","1","台","3","千克","8,366",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","417","库拉索","31","上海市","1","台","1","千克","2,088",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","418","多米尼加","31","上海市","3","台","20","千克","4,179",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","419","厄瓜多尔","31","上海市","4013","台","8509","千克","10,214,338",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","423","危地马拉","31","上海市","2","台","2","千克","143",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","425","海地","31","上海市","8","台","19","千克","1,173",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","429","墨西哥","31","上海市","16064","台","43017","千克","93,569,592",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","432","巴拿马","31","上海市","226","台","263","千克","495,171",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","433","巴拉圭","31","上海市","1","台","1","千克","7",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","434","秘鲁","31","上海市","1515","台","4202","千克","9,683,688",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","435","波多黎各","31","上海市","11","台","8","千克","28,077",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","440","萨尔瓦多","31","上海市","1","台","0","千克","7",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","442","特立尼达和多巴哥","31","上海市","2","台","5","千克","559",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","445","委内瑞拉","31","上海市","123","台","332","千克","728,024",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","501","加拿大","31","上海市","27424","台","58151","千克","127,711,559",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","502","美国","31","上海市","4122808","台","11186120","千克","27,703,620,926",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","503","格陵兰","31","上海市","1","台","0","千克","17",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","504","百慕大","31","上海市","1","台","0","千克","2,418",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","601","澳大利亚","31","上海市","308047","台","840473","千克","2,040,936,781",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","603","斐济","31","上海市","15","台","19","千克","3,847",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","607","新喀里多尼亚","31","上海市","10","台","3","千克","538",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","609","新西兰","31","上海市","11181","台","31394","千克","80,519,311",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","611","巴布亚新几内亚","31","上海市","11","台","4","千克","3,845",
